Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
284504,ThinkPad Laptop,1,9999900.0,12/01/21 09:23,"Jalan Wonoranti No 82, Jaksel, Jakarta 11556"
284505,Macbook Pro Laptop,1,17000000.0,12/15/21 15:01,"Jalan Sembrani No 82, Surabaya, Jatim 60111"
284506,Macbook Pro Laptop,1,17000000.0,12/24/21 18:02,"Jalan Teuku Umar No 8, Surabaya, Jatim 60111"
284507,Apple Airpods Headphones,1,1500000.0,12/09/21 14:49,"Jalan Serut No 40, Surabaya, Jatim 60111"
284508,27in 4K Gaming Monitor,1,3899900.0,12/13/21 07:57,"Jalan Manggis No 75, Surabaya, Jatim 60111"
284509,Wired Headphones,1,119900.0,12/09/21 11:51,"Jalan Apel No 2, Gresik, Jatim 60222"
284510,Wired Headphones,1,119900.0,12/08/21 09:31,"Jalan Sembrani No 93, Gresik, Jatim 60222"
284511,AA Batteries (4-pack),1,38400.0,12/09/21 17:50,"Jalan Persatuan No 49, Surabaya, Jatim 60111"
284512,Bose SoundSport Headphones,1,999900.0,12/17/21 20:13,"Jalan Jaya No 88, Jaktim, Jakarta 10110"
284513,27in FHD Monitor,1,1499900.0,12/10/21 06:38,"Jalan Masjid No 5, Jakbar, Jakarta 10244"
284514,34in Ultrawide Monitor,1,3799900.0,12/12/21 22:58,"Jalan Semeru No 99, Bandung, Jabar 16232"
284515,AAA Batteries (4-pack),1,29900.000000000004,12/11/21 14:18,"Jalan Pajajaran No 63, Sidoarjo, Jatim 60254"
284516,34in Ultrawide Monitor,1,3799900.0,12/17/21 20:56,"Jalan KH HAsyim Asyari No 39, Jakbar, Jakarta 10244"
284517,27in FHD Monitor,1,1499900.0,12/12/21 12:00,"Jalan Suci No 36, Sidoarjo, Jatim 60254"
284518,Apple Airpods Headphones,1,1500000.0,12/22/21 12:26,"Jalan Perdana No 9, Gresik, Jatim 60222"
284519,Bose SoundSport Headphones,1,999900.0,12/07/21 12:20,"Jalan Gurami No 17, Surabaya, Jatim 60111"
284520,AA Batteries (4-pack),1,38400.0,12/05/21 23:48,"Jalan Semangat No 48, Gresik, Jatim 60222"
284521,USB-C Charging Cable,1,119500.0,12/07/21 11:28,"Jalan KH HAsyim Asyari No 39, Gresik, Jatim 60222"
284522,ThinkPad Laptop,1,9999900.0,12/09/21 19:59,"Jalan KH HAsyim Asyari No 23, Solo, Jateng 51233"
284523,AA Batteries (4-pack),1,38400.0,12/14/21 23:55,"Jalan Majapahit No 77, Jakbar, Jakarta 10244"
284524,Apple Airpods Headphones,1,1500000.0,12/08/21 19:54,"Jalan Kaca Piring No 61, Gresik, Jatim 60222"
284525,Apple Airpods Headphones,1,1500000.0,12/04/21 06:45,"Jalan Rambutan No 57, Gresik, Jatim 60222"
284526,Redmi Note 12 Pro,1,4000000.0,12/28/21 15:42,"Jalan Cheri No 25, Bandung, Jabar 16232"
