Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,AA Batteries (4-pack),1,38400.0,01/09/21 20:49,"Jalan Cheri No 9, Surabaya, Jatim 60111"
141235,ThinkPad Laptop,1,9999900.0,01/12/21 15:09,"Jalan Sembrani No 2, Jaksel, Jakarta 11556"
141236,USB-C Charging Cable,1,119500.0,01/09/21 07:43,"Jalan Sepatu No 98, Solo, Jateng 51233"
141237,AA Batteries (4-pack),1,38400.0,01/05/21 22:03,"Jalan Soekarno Hatta No 38, Jaksel, Jakarta 11556"
141238,Macbook Pro Laptop,1,17000000.0,01/26/21 07:41,"Jalan Suci No 93, Bandung, Jabar 16232"
141239,AA Batteries (4-pack),1,38400.0,01/20/21 17:13,"Jalan Dam Biru No 62, Jaksel, Jakarta 11556"
141240,ThinkPad Laptop,1,9999900.0,01/23/21 09:01,"Jalan Wonoranti No 54, Surabaya, Jatim 60111"
141241,AA Batteries (4-pack),1,38400.0,01/07/21 17:33,"Jalan Sungai No 49, Jakbar, Jakarta 10244"
141242,iPhone 11,1,7000000.0,01/09/21 12:11,"Jalan Merbabu No 26, Gresik, Jatim 60222"
141243,AAA Batteries (4-pack),1,29900.000000000004,01/20/21 17:32,"Jalan Manggis No 33, Sidoarjo, Jatim 60254"
141244,Bose SoundSport Headphones,1,999900.0,01/25/21 22:56,"Jalan Serut No 30, Surabaya, Jatim 60111"
141245,27in 4K Gaming Monitor,1,3899900.0,01/13/21 13:12,"Jalan Sentanu No 4, Jaksel, Jakarta 11556"
141246,27in FHD Monitor,1,1499900.0,01/30/21 00:40,"Jalan KH HAsyim Asyari No 1, Gresik, Jatim 60222"
141247,Lightning Charging Cable,1,149500.0,01/09/21 18:22,"Jalan Sembrani No 33, Jaksel, Jakarta 11556"
141248,Redmi Note 12 Pro,1,4000000.0,01/09/21 19:37,"Jalan Rambutan No 74, Sidoarjo, Jatim 60254"
141248,USB-C Charging Cable,1,119500.0,01/09/21 19:37,"Jalan Rambutan No 74, Sidoarjo, Jatim 60254"
141249,Lightning Charging Cable,1,149500.0,01/27/21 18:06,"Jalan Masjid No 89, Gresik, Jatim 60222"
141250,AA Batteries (4-pack),1,38400.0,01/10/21 22:44,"Jalan Giri No 45, Gresik, Jatim 60222"
141251,USB-C Charging Cable,1,119500.0,01/21/21 21:17,"Jalan Merdeka No 43, Sidoarjo, Jatim 60254"
141252,Wired Headphones,1,119900.0,01/16/21 14:57,"Jalan Wonoranti No 72, Surabaya, Jatim 60111"
141253,Redmi Note 12 Pro,1,4000000.0,01/06/21 22:38,"Jalan Teuku Umar No 86, Jaksel, Jakarta 11556"
141253,Wired Headphones,1,119900.0,01/06/21 22:38,"Jalan Teuku Umar No 86, Jaksel, Jakarta 11556"
141254,AAA Batteries (4-pack),1,29900.000000000004,01/14/21 12:40,"Jalan Majapahit No 77, Gresik, Jatim 60222"
141255,Wired Headphones,1,119900.0,01/25/21 22:03,"Jalan Pahala No 16, Surabaya, Jatim 60111"
141256,Samsung Galaxy A54,1,6000000.0,01/30/21 21:21,"Jalan Pahlawan No 94, Jakbar, Jakarta 10244"
141257,Samsung Galaxy A54,1,6000000.0,01/02/21 18:19,"Jalan Pengging No 19, Gresik, Jatim 60222"
141258,Wired Headphones,1,119900.0,01/03/21 20:54,"Jalan Jeruk No 18, Surabaya, Jatim 60111"
141259,Apple Airpods Headphones,1,1500000.0,01/28/21 19:17,"Jalan Sembrani No 91, Surabaya, Jatim 60111"
141260,iPhone 11,1,7000000.0,01/18/21 21:12,"Jalan Senggani No 72, Jaksel, Jakarta 11556"
141261,Wired Headphones,1,119900.0,01/08/21 06:55,"Jalan KH HAsyim Asyari No 53, Sidoarjo, Jatim 60254"
141262,AAA Batteries (4-pack),1,29900.000000000004,01/24/21 18:09,"Jalan Demak No 7, Bandung, Jabar 16232"
141263,AA Batteries (4-pack),1,38400.0,01/03/21 16:32,"Jalan Semangat No 48, Surabaya, Jatim 60111"
141264,27in FHD Monitor,1,1499900.0,01/01/21 15:56,"Jalan Jeruk No 53, Malang, Jatim 60254"
141265,AAA Batteries (4-pack),1,29900.000000000004,01/20/21 15:50,"Jalan Senggani No 34, Surabaya, Jatim 60111"
141266,20in Monitor,1,1099900.0,01/07/21 11:48,"Jalan Gajah No 12, Semarang, Jateng 54221"
141267,27in FHD Monitor,1,1499900.0,01/25/21 08:21,"Jalan Pahala No 69, Jakbar, Jakarta 10244"
141268,Apple Airpods Headphones,1,1500000.0,01/08/21 08:20,"Jalan Semangat No 94, Jaksel, Jakarta 11556"
141269,AA Batteries (4-pack),1,38400.0,01/27/21 11:44,"Jalan Manggis No 75, Surabaya, Jatim 60111"
141270,AAA Batteries (4-pack),1,29900.000000000004,01/11/21 20:27,"Jalan Jaya No 52, Surabaya, Jatim 60111"
141271,Macbook Pro Laptop,1,17000000.0,01/12/21 16:13,"Jalan Serut No 14, Surabaya, Jatim 60111"
141272,Macbook Pro Laptop,1,17000000.0,01/18/21 10:23,"Jalan KH Ahmad Dahlan No 73, Jakbar, Jakarta 10244"
141273,Bose SoundSport Headphones,1,999900.0,01/19/21 18:54,"Jalan Kutilang No 72, Gresik, Jatim 60222"
