Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
218718,AAA Batteries (4-pack),1,29900.000000000004,07/10/21 15:54,"Jalan Kandang No 23, Malang, Jatim 60254"
218719,iPhone 11,1,7000000.0,07/27/21 08:20,"Jalan Semeru No 47, Jakbar, Jakarta 10244"
218720,Samsung Galaxy A54,1,6000000.0,07/30/21 14:47,"Jalan Semeru No 48, Jakbar, Jakarta 10244"
218721,Lightning Charging Cable,1,149500.0,07/19/21 08:53,"Jalan Pajajaran No 32, Jaktim, Jakarta 10110"
218722,AA Batteries (4-pack),1,38400.0,07/22/21 15:55,"Jalan Perjuangan No 80, Jakbar, Jakarta 10244"
218723,Flatscreen TV,1,3000000.0,07/07/21 14:56,"Jalan Nusantara No 91, Jakbar, Jakarta 10244"
218724,Wired Headphones,1,119900.0,07/02/21 11:46,"Jalan Jaya No 92, Jaksel, Jakarta 11556"
218725,Apple Airpods Headphones,1,1500000.0,07/30/21 22:59,"Jalan Gurami No 100, Gresik, Jatim 60222"
218726,Bose SoundSport Headphones,1,999900.0,07/20/21 19:20,"Jalan Sembayu No 5, Surabaya, Jatim 60111"
218727,USB-C Charging Cable,1,119500.0,07/17/21 19:47,"Jalan Giri No 59, Surabaya, Jatim 60111"
218728,Lightning Charging Cable,1,149500.0,07/30/21 14:56,"Jalan Senggani No 49, Bandung, Jabar 16232"
218729,USB-C Charging Cable,1,119500.0,07/06/21 12:09,"Jalan Perdana No 17, Jaksel, Jakarta 11556"
218730,AA Batteries (4-pack),1,38400.0,07/31/21 19:08,"Jalan Semeru No 91, Surabaya, Jatim 60111"
218731,AAA Batteries (4-pack),1,29900.000000000004,07/03/21 19:34,"Jalan Merdeka No 86, Jakbar, Jakarta 10244"
218732,AA Batteries (4-pack),1,38400.0,07/01/21 21:21,"Jalan Semanggi No 52, Jakbar, Jakarta 10244"
218733,AA Batteries (4-pack),1,38400.0,07/14/21 11:22,"Jalan Kaca Piring No 97, Malang, Jatim 60254"
218734,Bose SoundSport Headphones,1,999900.0,07/15/21 18:24,"Jalan Teuku Umar No 62, Bandung, Jabar 16232"
218735,Wired Headphones,1,119900.0,07/07/21 00:04,"Jalan Demak No 90, Surabaya, Jatim 60111"
218736,Apple Airpods Headphones,1,1500000.0,07/12/21 13:36,"Jalan KH Ahmad Dahlan No 43, Bandung, Jabar 16232"
218737,USB-C Charging Cable,1,119500.0,07/15/21 16:17,"Jalan Suci No 80, Surabaya, Jatim 60111"
218738,27in 4K Gaming Monitor,1,3899900.0,07/13/21 07:48,"Jalan Semeru No 9, Bandung, Jabar 16232"
218739,USB-C Charging Cable,1,119500.0,07/13/21 14:30,"Jalan Sigunting No 97, Surabaya, Jatim 60111"
218740,AA Batteries (4-pack),1,38400.0,07/13/21 15:19,"Jalan Serut No 16, Jakbar, Jakarta 10244"
218741,27in 4K Gaming Monitor,1,3899900.0,07/31/21 20:28,"Jalan Gajah No 56, Surabaya, Jatim 60111"
218742,27in FHD Monitor,1,1499900.0,07/27/21 13:07,"Jalan Soekarno Hatta No 47, Surabaya, Jatim 60111"
218743,Lightning Charging Cable,1,149500.0,07/14/21 20:02,"Jalan Nusantara No 74, Jakbar, Jakarta 10244"
218744,34in Ultrawide Monitor,1,3799900.0,07/08/21 14:22,"Jalan Pajajaran No 25, Jaksel, Jakarta 11556"
218745,AA Batteries (4-pack),1,38400.0,07/02/21 13:37,"Jalan Semangat No 81, Gresik, Jatim 60222"
218746,AAA Batteries (4-pack),1,29900.000000000004,07/02/21 10:34,"Jalan Manggis No 69, Jakbar, Jakarta 10244"
218747,USB-C Charging Cable,1,119500.0,07/29/21 15:55,"Jalan Jaya No 63, Jaksel, Jakarta 11556"
218748,AA Batteries (4-pack),1,38400.0,07/08/21 16:12,"Jalan Serambi No 60, Jakbar, Jakarta 10244"
218749,Lightning Charging Cable,1,149500.0,07/10/21 17:54,"Jalan Senggani No 93, Jakbar, Jakarta 10244"
218750,USB-C Charging Cable,1,119500.0,07/30/21 20:07,"Jalan Perdana No 62, Jakbar, Jakarta 10244"
218751,AA Batteries (4-pack),1,38400.0,07/28/21 21:14,"Jalan Merdeka No 4, Jakbar, Jakarta 10244"
218752,Lightning Charging Cable,1,149500.0,07/19/21 12:05,"Jalan Sungai No 28, Bandung, Jabar 16232"
218753,Wired Headphones,1,119900.0,07/30/21 15:00,"Jalan Nusantara No 85, Bandung, Jabar 16232"
