Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
264499,AAA Batteries (4-pack),1,29900.000000000004,11/24/21 18:31,"Jalan Jambu No 93, Surabaya, Jatim 60111"
264500,ThinkPad Laptop,1,9999900.0,11/05/21 20:27,"Jalan Sembayu No 54, Jakbar, Jakarta 10244"
264501,iPhone 11,1,7000000.0,11/15/21 14:37,"Jalan Wonoranti No 23, Jakbar, Jakarta 10244"
264502,Samsung Galaxy A54,1,6000000.0,11/04/21 17:25,"Jalan Pahala No 69, Jakbar, Jakarta 10244"
264503,Samsung Galaxy A54,1,6000000.0,11/25/21 17:32,"Jalan Teuku Umar No 77, Jaksel, Jakarta 11556"
264504,iPhone 11,1,7000000.0,11/27/21 12:18,"Jalan KH HAsyim Asyari No 80, Jaksel, Jakarta 11556"
264505,iPhone 11,1,7000000.0,11/25/21 11:58,"Jalan KH Ahmad Dahlan No 42, Gresik, Jatim 60222"
264506,Redmi Note 12 Pro,1,4000000.0,11/21/21 19:24,"Jalan Jeruk No 78, Gresik, Jatim 60222"
264506,AA Batteries (4-pack),1,38400.0,11/21/21 19:24,"Jalan Jeruk No 78, Gresik, Jatim 60222"
264507,iPhone 11,1,7000000.0,11/15/21 11:06,"Jalan Persatuan No 89, Bandung, Jabar 16232"
264508,AAA Batteries (4-pack),1,29900.000000000004,11/01/21 14:46,"Jalan Serambi No 100, Surabaya, Jatim 60111"
264509,AAA Batteries (4-pack),1,29900.000000000004,11/14/21 07:28,"Jalan Sembrani No 41, Semarang, Jateng 54221"
264510,20in Monitor,1,1099900.0,11/21/21 14:48,"Jalan Gajah No 29, Gresik, Jatim 60222"
264511,Macbook Pro Laptop,1,17000000.0,11/01/21 23:15,"Jalan Serambi No 76, Bandung, Jabar 16232"
264512,Apple Airpods Headphones,1,1500000.0,11/22/21 18:56,"Jalan Gajah No 3, Surabaya, Jatim 60111"
264513,Bose SoundSport Headphones,1,999900.0,11/22/21 08:25,"Jalan Demak No 80, Semarang, Jateng 54221"
264514,AAA Batteries (4-pack),1,29900.000000000004,11/22/21 14:29,"Jalan Apel No 39, Bandung, Jabar 16232"
264515,Apple Airpods Headphones,1,1500000.0,11/28/21 21:16,"Jalan Demak No 25, Surabaya, Jatim 60111"
264516,ThinkPad Laptop,1,9999900.0,11/28/21 15:23,"Jalan Suci No 26, Bandung, Jabar 16232"
264517,USB-C Charging Cable,1,119500.0,11/17/21 23:16,"Jalan Jambu No 56, Jakbar, Jakarta 10244"
264518,iPhone 11,1,7000000.0,11/01/21 18:05,"Jalan Pajajaran No 30, Surabaya, Jatim 60111"
264519,USB-C Charging Cable,1,119500.0,11/30/21 19:58,"Jalan Masjid No 1, Surabaya, Jatim 60111"
264520,Bose SoundSport Headphones,1,999900.0,11/04/21 13:03,"Jalan Senggani No 21, Jakbar, Jakarta 10244"
264521,AAA Batteries (4-pack),1,29900.000000000004,11/11/21 22:30,"Jalan Kandang No 87, Jakbar, Jakarta 10244"
264522,USB-C Charging Cable,1,119500.0,11/04/21 10:39,"Jalan Pengging No 79, Bandung, Jabar 16232"
264523,AA Batteries (4-pack),1,38400.0,11/25/21 10:58,"Jalan Persatuan No 40, Surabaya, Jatim 60111"
264524,Flatscreen TV,1,3000000.0,11/17/21 12:56,"Jalan Pahala No 14, Bandung, Jabar 16232"
264525,Lightning Charging Cable,1,149500.0,11/28/21 19:11,"Jalan KH HAsyim Asyari No 65, Bandung, Jabar 16232"
264526,Lightning Charging Cable,1,149500.0,11/22/21 10:23,"Jalan Persatuan No 82, Surabaya, Jatim 60111"
264527,USB-C Charging Cable,1,119500.0,11/23/21 16:34,"Jalan Masjid No 48, Surabaya, Jatim 60111"
264528,USB-C Charging Cable,1,119500.0,11/25/21 16:15,"Jalan Merapi No 44, Jaksel, Jakarta 11556"
264529,Lightning Charging Cable,1,149500.0,11/11/21 14:11,"Jalan Sepatu No 70, Jakbar, Jakarta 10244"
264530,Lightning Charging Cable,1,149500.0,11/15/21 13:09,"Jalan Wonoranti No 68, Surabaya, Jatim 60111"
264531,Wired Headphones,1,119900.0,11/06/21 11:45,"Jalan Apel No 7, Sidoarjo, Jatim 60254"
264532,AAA Batteries (4-pack),1,29900.000000000004,11/15/21 20:05,"Jalan Merapi No 81, Gresik, Jatim 60222"
264533,Wired Headphones,1,119900.0,11/21/21 20:17,"Jalan Teuku Umar No 66, Malang, Jatim 60254"
264534,Wired Headphones,1,119900.0,11/26/21 23:23,"Jalan Serambi No 1, Bandung, Jabar 16232"
264535,Apple Airpods Headphones,1,1500000.0,11/22/21 00:46,"Jalan Kandang No 73, Surabaya, Jatim 60111"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
264536,27in 4K Gaming Monitor,1,3899900.0,11/12/21 11:38,"Jalan Sepatu No 21, Bandung, Jabar 16232"
264537,27in 4K Gaming Monitor,1,3899900.0,11/18/21 14:02,"Jalan Kutilang No 30, Sidoarjo, Jatim 60254"
264538,USB-C Charging Cable,1,119500.0,11/30/21 13:04,"Jalan Gajah No 99, Surabaya, Jatim 60111"
264539,20in Monitor,1,1099900.0,11/05/21 13:58,"Jalan Suci No 14, Bandung, Jabar 16232"
