Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
152265,Bose SoundSport Headphones,1,1500000.0,02/25/21 02:06,"Jalan Wonoranti No 73, Surabaya, Jatim 60111"
152266,Wired Headphones,1,200000.0,02/04/21 21:04,"Jalan KH HAsyim Asyari No 68, Gresik, Jatim 60222"
152267,20in Monitor,1,1500000.99,02/27/21 17:33,"Jalan Srikandi No 29, Bandung, Jabar 16232"
152268,27in FHD Monitor,1,2700000.0,02/10/21 15:38,"Jalan Apel No 12, Bandung, Jabar 16232"
152269,LG Washing Machine,1,6000000.0,02/28/21 15:18,"Jalan KH Ahmad Dahlan No 67, Surabaya, Jatim 60111"
152270,AAA Batteries (4-pack),5,32000.0,02/26/21 12:08,"Jalan Jaya No 62, Sidoarjo, Jatim 60254"
152271,USB-C Charging Cable,1,110000.0,02/12/21 13:38,"Jalan Apel No 66, Solo, Jateng 51233"
152272,AAA Batteries (4-pack),8,32000.0,02/22/21 20:15,"Jalan Semeru No 4, Jaksel, Jakarta 11556"
152273,Wired Headphones,3,200000.0,02/05/21 21:45,"Jalan Wonoranti No 4, Semarang, Jateng 54221"
152274,Lightning Charging Cable,3,211000.0,02/28/21 14:17,"Jalan Kandang No 82, Sidoarjo, Jatim 60254"
152275,ThinkPad Laptop,1,12000000.0,02/10/21 11:16,"Jalan Senggani No 1, Jakbar, Jakarta 10244"
152276,Wired Headphones,1,200000.0,02/07/21 07:21,"Jalan Apel No 1, Surabaya, Jatim 60111"
152277,USB-C Charging Cable,1,110000.0,02/28/21 16:44,"Jalan Perdana No 99, Surabaya, Jatim 60111"
152278,Redmi Note 10 Pro,1,4500000.0,02/28/21 23:08,"Jalan Sarkoro No 54, Jakbar, Jakarta 10244"
152279,Lightning Charging Cable,1,211000.0,02/01/21 18:38,"Jalan Merapi No 58, Surabaya, Jatim 60111"
152280,34in Ultrawide Monitor,1,8000000.0,02/11/21 10:45,"Jalan Pengging No 63, Jakbar, Jakarta 10244"
152281,AA Batteries (4-pack),1,38000.0,02/27/21 12:18,"Jalan Dam Biru No 57, Bandung, Jabar 16232"
152282,iPhone 11,1,10000000.0,02/25/21 18:49,"Jalan Sarkoro No 22, Semarang, Jateng 54221"
152283,Wired Headphones,1,200000.0,02/28/21 12:46,"Jalan Kutilang No 5, Surabaya, Jatim 60111"
152284,Bose SoundSport Headphones,1,1500000.0,02/26/21 11:10,"Jalan Serambi No 51, Gresik, Jatim 60222"
152285,Lightning Charging Cable,1,211000.0,02/26/21 11:33,"Jalan Pahlawan No 23, Bandung, Jabar 16232"
152286,34in Ultrawide Monitor,1,8000000.0,02/18/21 17:02,"Jalan Pahlawan No 29, Sidoarjo, Jatim 60254"
152287,AA Batteries (4-pack),9,38000.0,02/01/21 19:59,"Jalan Dam Biru No 5, Sidoarjo, Jatim 60254"
152288,Wired Headphones,1,200000.0,02/25/21 09:47,"Jalan Semanggi No 37, Gresik, Jatim 60222"
152289,Bose SoundSport Headphones,1,1500000.0,02/02/21 11:02,"Jalan Jambu No 70, Semarang, Jateng 54221"
152290,AA Batteries (4-pack),5,38000.0,02/09/21 09:12,"Jalan Manggis No 8, Jakbar, Jakarta 10244"
152291,Wired Headphones,1,200000.0,02/18/21 10:41,"Jalan Merapi No 84, Semarang, Jateng 54221"
152292,iPhone 11,1,10000000.0,02/09/21 18:04,"Jalan Kutilang No 80, Jakbar, Jakarta 10244"
152292,ThinkPad Laptop,1,12000000.0,02/09/21 18:04,"Jalan Kutilang No 80, Jakbar, Jakarta 10244"
152293,AA Batteries (4-pack),4,38000.0,02/19/21 08:58,"Jalan Suci No 58, Gresik, Jatim 60222"
152294,Lightning Charging Cable,1,211000.0,02/18/21 03:11,"Jalan Sepatu No 18, Sidoarjo, Jatim 60254"
152295,Lightning Charging Cable,1,211000.0,02/17/21 00:13,"Jalan Pengging No 35, Jakbar, Jakarta 10244"
152296,27in 4K Gaming Monitor,1,6100000.0,02/09/21 08:13,"Jalan Kandang No 85, Bandung, Jabar 16232"
152297,USB-C Charging Cable,3,110000.0,02/28/21 10:06,"Jalan Kutilang No 91, Semarang, Jateng 54221"
152298,Bose SoundSport Headphones,1,1500000.0,02/08/21 12:27,"Jalan Soekarno Hatta No 26, Bandung, Jabar 16232"
152299,AAA Batteries (4-pack),3,32000.0,02/15/21 19:21,"Jalan Semeru No 84, Jakbar, Jakarta 10244"
152300,Lightning Charging Cable,1,211000.0,02/23/21 18:09,"Jalan Pengging No 25, Gresik, Jatim 60222"
152301,AA Batteries (4-pack),7,38000.0,02/28/21 23:00,"Jalan Sepatu No 77, Surabaya, Jatim 60111"
152302,Flatscreen TV,1,3000000.0,02/27/21 14:41,"Jalan Srikandi No 20, Sidoarjo, Jatim 60254"
152303,AA Batteries (4-pack),6,38000.0,02/28/21 12:43,"Jalan KH Ahmad Dahlan No 86, Jaksel, Jakarta 11556"
152304,Redmi Note 10 Pro,1,4500000.0,02/02/21 11:53,"Jalan Teuku Umar No 37, Surabaya, Jatim 60111"
152305,Apple Airpods Headphones,1,2300000.0,02/18/21 18:17,"Jalan Rambutan No 53, Jakbar, Jakarta 10244"
152306,Lightning Charging Cable,1,211000.0,02/17/21 15:17,"Jalan Jambu No 14, Surabaya, Jatim 60111"
152307,Wired Headphones,3,200000.0,02/20/21 15:32,"Jalan Sarkoro No 41, Surabaya, Jatim 60111"
152308,Macbook Pro Laptop,1,19000000.0,02/10/21 14:09,"Jalan Apel No 55, Jakbar, Jakarta 10244"
152309,Macbook Pro Laptop,1,19000000.0,02/25/21 08:57,"Jalan Gurami No 21, Solo, Jateng 51233"
152310,USB-C Charging Cable,1,110000.0,02/16/21 09:53,"Jalan Merbabu No 83, Solo, Jateng 51233"
152311,USB-C Charging Cable,1,110000.0,02/15/21 20:41,"Jalan Jeruk No 52, Solo, Jateng 51233"
152312,Wired Headphones,1,200000.0,02/25/21 21:27,"Jalan Sarkoro No 6, Solo, Jateng 51233"
152313,Wired Headphones,1,200000.0,02/05/21 15:52,"Jalan Kaca Piring No 50, Jaksel, Jakarta 11556"
152314,AAA Batteries (4-pack),8,32000.0,02/02/21 20:49,"Jalan Semangat No 96, Surabaya, Jatim 60111"
152315,Bose SoundSport Headphones,1,1500000.0,02/22/21 22:08,"Jalan Demak No 16, Gresik, Jatim 60222"
152315,AA Batteries (4-pack),1,38000.0,02/22/21 22:08,"Jalan Demak No 16, Gresik, Jatim 60222"
152316,Wired Headphones,1,200000.0,02/24/21 21:43,"Jalan Srikandi No 7, Surabaya, Jatim 60111"
152317,Apple Airpods Headphones,1,2300000.0,02/07/21 11:29,"Jalan Merdeka No 12, Surabaya, Jatim 60111"
152318,34in Ultrawide Monitor,1,8000000.0,02/17/21 10:47,"Jalan Persatuan No 3, Surabaya, Jatim 60111"
152319,Lightning Charging Cable,1,211000.0,02/15/21 21:36,"Jalan Serut No 30, Jakbar, Jakarta 10244"
152320,Flatscreen TV,1,3000000.0,02/28/21 12:37,"Jalan Serut No 9, Solo, Jateng 51233"
152321,USB-C Charging Cable,3,110000.0,02/24/21 17:17,"Jalan Sepatu No 50, Semarang, Jateng 54221"
152322,Lightning Charging Cable,1,211000.0,02/08/21 12:53,"Jalan KH Ahmad Dahlan No 30, Jaksel, Jakarta 11556"
152323,AAA Batteries (4-pack),5,32000.0,02/15/21 19:29,"Jalan Perjuangan No 12, Semarang, Jateng 54221"
