Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,AA Batteries (4-pack),7,38000.0,01/17/21 09:27,"Jalan Kutilang No 43, Jaksel, Jakarta 11556"
141235,Macbook Pro Laptop,1,19000000.0,01/22/21 17:22,"Jalan Merdeka No 12, Bandung, Jabar 16232"
141236,20in Monitor,1,1500000.99,01/24/21 09:02,"Jalan Jeruk No 49, Semarang, Jateng 54221"
141237,Macbook Pro Laptop,1,19000000.0,01/17/21 15:09,"Jalan Nusantara No 15, Sidoarjo, Jatim 60254"
141238,AA Batteries (4-pack),4,38000.0,01/19/21 13:27,"Jalan Sembayu No 58, Sidoarjo, Jatim 60254"
141239,AA Batteries (4-pack),3,38000.0,01/14/21 10:07,"Jalan Semeru No 83, Jakbar, Jakarta 10244"
141240,Flatscreen TV,1,3000000.0,01/12/21 22:51,"Jalan Manggis No 70, Surabaya, Jatim 60111"
141241,27in FHD Monitor,1,2700000.0,01/28/21 14:52,"Jalan Srikandi No 30, Sidoarjo, Jatim 60254"
141242,Bose SoundSport Headphones,1,1500000.0,01/17/21 16:01,"Jalan Gajah No 62, Jakbar, Jakarta 10244"
141243,USB-C Charging Cable,1,110000.0,01/06/21 05:05,"Jalan Sentanu No 10, Surabaya, Jatim 60111"
141244,iPhone 11,1,10000000.0,01/22/21 09:15,"Jalan Kandang No 60, Jaksel, Jakarta 11556"
141244,Wired Headphones,1,200000.0,01/22/21 09:15,"Jalan Kandang No 60, Jaksel, Jakarta 11556"
141245,iPhone 11,1,10000000.0,01/15/21 12:05,"Jalan Persatuan No 30, Bandung, Jabar 16232"
141246,Macbook Pro Laptop,1,19000000.0,01/11/21 16:46,"Jalan Jaya No 98, Sidoarjo, Jatim 60254"
141247,Samsung Galaxy A52,1,5200000.0,01/17/21 19:40,"Jalan Merapi No 42, Surabaya, Jatim 60111"
141248,USB-C Charging Cable,1,110000.0,01/14/21 05:26,"Jalan Sentanu No 80, Semarang, Jateng 54221"
141249,AAA Batteries (4-pack),3,32000.0,01/01/21 09:28,"Jalan Teuku Umar No 97, Jaksel, Jakarta 11556"
141250,34in Ultrawide Monitor,1,8000000.0,01/05/21 23:32,"Jalan Semanggi No 92, Jakbar, Jakarta 10244"
