Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
218062,AAA Batteries (4-pack),5,32000.0,07/02/21 01:10,"Jalan Suci No 72, Sidoarjo, Jatim 60254"
218063,Wired Headphones,3,200000.0,07/01/21 21:06,"Jalan Jeruk No 13, Semarang, Jateng 54221"
218064,AAA Batteries (4-pack),9,32000.0,07/23/21 13:22,"Jalan Serambi No 35, Malang, Jatim 60254"
218065,Lightning Charging Cable,1,211000.0,07/30/21 12:16,"Jalan KH HAsyim Asyari No 67, Gresik, Jatim 60222"
218066,20in Monitor,1,1500000.99,07/04/21 23:03,"Jalan Semanggi No 49, Jakbar, Jakarta 10244"
218067,AAA Batteries (4-pack),9,32000.0,07/13/21 19:03,"Jalan Sarkoro No 8, Sidoarjo, Jatim 60254"
218068,AA Batteries (4-pack),8,38000.0,07/20/21 15:11,"Jalan Demak No 2, Malang, Jatim 60254"
218069,Lightning Charging Cable,1,211000.0,07/25/21 09:31,"Jalan Dam Biru No 27, Sidoarjo, Jatim 60254"
218070,AA Batteries (4-pack),6,38000.0,07/06/21 11:59,"Jalan Wonoranti No 15, Surabaya, Jatim 60111"
218071,Wired Headphones,1,200000.0,07/31/21 09:18,"Jalan Dam Biru No 38, Sidoarjo, Jatim 60254"
218072,Apple Airpods Headphones,1,2300000.0,07/05/21 15:29,"Jalan Perjuangan No 89, Jakbar, Jakarta 10244"
218073,20in Monitor,1,1500000.99,07/17/21 09:31,"Jalan KH Ahmad Dahlan No 51, Semarang, Jateng 54221"
218074,Lightning Charging Cable,1,211000.0,07/19/21 04:11,"Jalan Suci No 23, Gresik, Jatim 60222"
218075,AAA Batteries (4-pack),8,32000.0,07/13/21 20:21,"Jalan Cheri No 68, Malang, Jatim 60254"
218076,Bose SoundSport Headphones,1,1500000.0,07/31/21 08:36,"Jalan Sarkoro No 37, Gresik, Jatim 60222"
218077,iPhone 11,1,10000000.0,07/17/21 07:51,"Jalan Sepatu No 42, Semarang, Jateng 54221"
218077,Lightning Charging Cable,1,211000.0,07/17/21 07:51,"Jalan Sepatu No 42, Semarang, Jateng 54221"
218078,AAA Batteries (4-pack),1,32000.0,07/09/21 13:06,"Jalan Pajajaran No 81, Solo, Jateng 51233"
218079,USB-C Charging Cable,1,110000.0,07/21/21 17:05,"Jalan Sembrani No 69, Solo, Jateng 51233"
218080,USB-C Charging Cable,1,110000.0,07/10/21 09:19,"Jalan Sepatu No 46, Jaksel, Jakarta 11556"
218081,27in 4K Gaming Monitor,1,6100000.0,07/10/21 09:39,"Jalan Teuku Umar No 40, Surabaya, Jatim 60111"
218082,AAA Batteries (4-pack),3,32000.0,07/14/21 16:47,"Jalan Kutilang No 3, Surabaya, Jatim 60111"
218083,AAA Batteries (4-pack),6,32000.0,07/28/21 19:20,"Jalan Sarkoro No 53, Surabaya, Jatim 60111"
218084,AAA Batteries (4-pack),2,32000.0,07/08/21 21:51,"Jalan Jaya No 37, Bandung, Jabar 16232"
218085,Bose SoundSport Headphones,1,1500000.0,07/29/21 19:36,"Jalan Pahlawan No 59, Jakbar, Jakarta 10244"
218086,Apple Airpods Headphones,1,2300000.0,07/19/21 19:40,"Jalan Semeru No 27, Surabaya, Jatim 60111"
218087,Lightning Charging Cable,1,211000.0,07/03/21 19:47,"Jalan Perjuangan No 46, Jaksel, Jakarta 11556"
218088,AAA Batteries (4-pack),3,32000.0,07/02/21 11:43,"Jalan Kaca Piring No 19, Jakbar, Jakarta 10244"
218089,AAA Batteries (4-pack),9,32000.0,07/27/21 05:55,"Jalan Wonoranti No 18, Surabaya, Jatim 60111"
218090,Macbook Pro Laptop,1,19000000.0,07/19/21 12:29,"Jalan Rambutan No 40, Malang, Jatim 60254"
218091,Bose SoundSport Headphones,1,1500000.0,07/06/21 22:56,"Jalan Pengging No 61, Semarang, Jateng 54221"
218092,USB-C Charging Cable,3,110000.0,07/15/21 11:23,"Jalan Pajajaran No 89, Semarang, Jateng 54221"
218093,USB-C Charging Cable,1,110000.0,07/30/21 13:35,"Jalan Teuku Umar No 47, Sidoarjo, Jatim 60254"
218094,Apple Airpods Headphones,1,2300000.0,07/03/21 00:41,"Jalan Perdana No 65, Surabaya, Jatim 60111"
218095,Bose SoundSport Headphones,1,1500000.0,07/20/21 16:14,"Jalan Sungai No 36, Semarang, Jateng 54221"
218096,Bose SoundSport Headphones,1,1500000.0,07/13/21 20:16,"Jalan Cheri No 100, Jaksel, Jakarta 11556"
